epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.805,1.12767,4.51682,0.01535,0.42347,0.07564,0.06484,0.04733,0.09864,177.351,0.00221,0.000248794,0.000248794,0.000248794
2,281.276,1.19381,2.81052,0.01667,0.11418,0.3922,0.08767,0.05769,0.12197,114.261,0.00282,0.000495126,0.000495126,0.000495126
3,420.994,1.24843,2.18388,0.01744,0.62708,0.06051,0.09434,0.05856,0.11696,148.589,0.00259,0.000731307,0.000731307,0.000731307
4,560.994,1.28511,1.92889,0.01851,0.09737,0.32169,0.10298,0.06559,0.12027,95.7207,0.00273,0.000723321,0.000723321,0.000723321
5,700.492,1.295,1.72779,0.01896,0.13143,0.47616,0.15533,0.0859,0.15293,46.2778,0.00396,0.000708095,0.000708095,0.000708095
6,840.327,1.37489,1.65999,0.0199,0.08836,0.42306,0.09872,0.06197,0.12269,56.0837,0.0029,0.000692869,0.000692869,0.000692869
7,979.96,1.24973,1.44819,0.01763,0.27161,0.2878,0.14361,0.09418,0.10631,38.6371,0.00228,0.000677643,0.000677643,0.000677643
8,1119.26,1.23489,1.4308,0.01718,0.10125,0.37098,0.08773,0.05584,0.13006,75.6237,0.00305,0.000662417,0.000662417,0.000662417
9,1258.69,1.25546,1.36977,0.01767,0.17044,0.38614,0.17331,0.11082,0.10802,65.2048,0.00235,0.00064719,0.00064719,0.00064719
10,1398.2,1.21222,1.31557,0.01738,0.24821,0.38115,0.14144,0.09183,0.12228,74.8874,0.00289,0.000631964,0.000631964,0.000631964
11,1536.44,1.24609,1.2609,0.01735,0.20548,0.37227,0.12365,0.07739,0.11728,31.6333,0.00262,0.000616738,0.000616738,0.000616738
12,1674.46,1.20048,1.2011,0.01782,0.19511,0.4613,0.24216,0.14921,0.1156,44.56,0.00268,0.000601512,0.000601512,0.000601512
13,1824.81,1.19243,1.11946,0.01676,0.16784,0.59569,0.20201,0.13172,0.10987,49.7462,0.00245,0.000586286,0.000586286,0.000586286
14,1972.29,1.16613,1.07237,0.01632,0.0851,0.37956,0.10198,0.0698,0.11634,37.8127,0.00265,0.000571059,0.000571059,0.000571059
15,2109.53,1.18858,1.07988,0.01695,0.19363,0.48415,0.22696,0.14988,0.11585,53.2463,0.00276,0.000555833,0.000555833,0.000555833
16,2246.95,1.16312,1.02509,0.01634,0.15416,0.34598,0.17464,0.11805,0.11176,45.5936,0.00247,0.000540607,0.000540607,0.000540607
17,2384.42,1.14014,0.95692,0.01631,0.1711,0.487,0.16546,0.1101,0.11536,35.4797,0.00272,0.000525381,0.000525381,0.000525381
18,2523.65,1.18577,0.93934,0.01609,0.21965,0.46094,0.15023,0.10634,0.11909,37.5716,0.00285,0.000510155,0.000510155,0.000510155
19,2664.79,1.12464,1.00882,0.01532,0.14974,0.46208,0.15203,0.10823,0.10869,35.9826,0.00245,0.000494928,0.000494928,0.000494928
20,2802.12,1.0782,0.91437,0.01446,0.1801,0.5449,0.20511,0.15127,0.10573,60.8888,0.00228,0.000479702,0.000479702,0.000479702
21,2944.44,1.10366,0.84285,0.01501,0.19514,0.49939,0.20069,0.14138,0.10992,35.025,0.00245,0.000464476,0.000464476,0.000464476
22,3096.89,1.10013,0.84079,0.01469,0.2483,0.50129,0.27765,0.19473,0.11299,43.8636,0.00254,0.00044925,0.00044925,0.00044925
23,3238.8,1.05965,0.81333,0.01496,0.19533,0.51047,0.25687,0.1786,0.10398,34.1848,0.00231,0.000434024,0.000434024,0.000434024
24,3377.3,1.06365,0.78663,0.01406,0.23723,0.53279,0.30461,0.21744,0.10887,34.51,0.00242,0.000418797,0.000418797,0.000418797
25,3516.11,1.04113,0.77098,0.01418,0.1467,0.4957,0.18699,0.13895,0.10728,40.2278,0.00238,0.000403571,0.000403571,0.000403571
26,3654.63,1.07107,0.79458,0.0147,0.11593,0.51938,0.15081,0.108,0.10393,49.5317,0.00231,0.000388345,0.000388345,0.000388345
27,3792.81,1.04584,0.78419,0.01427,0.18224,0.68972,0.22651,0.1647,0.10409,42.9018,0.0023,0.000373119,0.000373119,0.000373119
28,3931.73,1.03856,0.70555,0.01417,0.24145,0.50445,0.2756,0.20399,0.10758,33.7518,0.00238,0.000357893,0.000357893,0.000357893
29,4073.96,1.01157,0.69605,0.01355,0.18278,0.54705,0.22945,0.16618,0.10194,40.159,0.00222,0.000342666,0.000342666,0.000342666
30,4214.48,1.01511,0.68904,0.01336,0.2029,0.43872,0.25889,0.19433,0.10157,31.8265,0.00213,0.00032744,0.00032744,0.00032744
31,4353.12,0.99932,0.67089,0.01342,0.14633,0.44287,0.19179,0.14601,0.10182,39.0825,0.0022,0.000312214,0.000312214,0.000312214
32,4491.11,0.95859,0.61818,0.0132,0.12772,0.45934,0.14236,0.10579,0.10474,34.3273,0.00228,0.000296988,0.000296988,0.000296988
33,4634.76,0.96274,0.60853,0.01266,0.18293,0.50166,0.24724,0.19335,0.09742,40.0796,0.00207,0.000281762,0.000281762,0.000281762
34,4775.37,0.94347,0.56311,0.01226,0.15114,0.3683,0.20633,0.15748,0.09858,35.5735,0.00211,0.000266535,0.000266535,0.000266535
35,4913.23,0.96423,0.62435,0.01228,0.18538,0.5048,0.22592,0.18017,0.09648,35.8873,0.00201,0.000251309,0.000251309,0.000251309
36,5050.35,0.89752,0.54976,0.01195,0.12909,0.4552,0.18942,0.14358,0.09592,35.6463,0.00203,0.000236083,0.000236083,0.000236083
37,5187.35,0.8651,0.54856,0.01164,0.14979,0.5413,0.18877,0.14127,0.09434,43.3015,0.002,0.000220857,0.000220857,0.000220857
38,5324.44,0.86777,0.5293,0.01131,0.19013,0.5306,0.20948,0.1592,0.09472,34.614,0.002,0.000205631,0.000205631,0.000205631
39,5463.23,0.89104,0.53979,0.01206,0.18618,0.55736,0.2291,0.1759,0.09875,29.9803,0.00206,0.000190404,0.000190404,0.000190404
40,5608.39,0.8782,0.53369,0.01201,0.15956,0.53856,0.19537,0.14702,0.0966,41.6336,0.00206,0.000175178,0.000175178,0.000175178
41,5745.38,0.78961,0.38677,0.01373,0.14151,0.50823,0.16648,0.12168,0.09559,35.147,0.00202,0.000159952,0.000159952,0.000159952
42,5881.05,0.76952,0.36913,0.01318,0.14914,0.57337,0.21642,0.1636,0.09953,52.1102,0.0021,0.000144726,0.000144726,0.000144726
43,6017.99,0.75028,0.33905,0.01327,0.14373,0.48149,0.16953,0.12727,0.09684,44.0399,0.00205,0.0001295,0.0001295,0.0001295
44,6153.42,0.72969,0.34411,0.0125,0.16298,0.52403,0.19055,0.14266,0.09945,34.551,0.00211,0.000114273,0.000114273,0.000114273
45,6288.92,0.70774,0.29882,0.01213,0.1796,0.5778,0.23497,0.18269,0.09898,38.3111,0.00208,9.90472e-05,9.90472e-05,9.90472e-05
46,6424.41,0.71358,0.31468,0.01215,0.20033,0.54864,0.2349,0.18178,0.09914,39.3737,0.00208,8.3821e-05,8.3821e-05,8.3821e-05
47,6567.23,0.69133,0.29568,0.01169,0.19512,0.54213,0.24769,0.19321,0.09837,38.9267,0.00202,6.85948e-05,6.85948e-05,6.85948e-05
48,6708.32,0.68726,0.28961,0.01138,0.19016,0.5369,0.24461,0.19066,0.09891,37.8634,0.0021,5.33686e-05,5.33686e-05,5.33686e-05
49,6844.72,0.68353,0.30115,0.01186,0.19376,0.5715,0.23674,0.18491,0.09599,37.7298,0.00201,3.81424e-05,3.81424e-05,3.81424e-05
